序號,醫療機構代碼,機構名稱,縣市別,評定等級,備註,效期,機構電話,機構地址
1,1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市,中度級急救責任醫院,,114/01/01-117/12/31,02-27718151,臺北市松山區八德路二段424、426號
2,1231050017,天主教耕莘醫療財團法人耕莘醫院,新北市,重度級急救責任醫院,,108/01/01-114/12/31,02-22193391,新北市新店區中正路362號
3,132010014,衛生福利部桃園醫院,桃園市,重度級急救責任醫院,,113/01/01-116/12/31,03-3699721,桃園市桃園區中山路1492號
4,1333050017,中國醫藥大學新竹附設醫院,新竹縣,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、緊急外傷重度級能力,113/01/01-116/12/31,03-5580558,新竹縣竹北市興隆路一段199號
5,1517061032,澄清綜合醫院中港分院,臺中市,重度級急救責任醫院,,106/01/01-114/12/31,04-24632000,臺中市西屯區臺灣大道4段966號
6,937010019,秀傳醫療社團法人秀傳紀念醫院,彰化縣,重度級急救責任醫院,,114/01/01-117/12/31,04-7256166,彰化縣彰化市南瑤里中山路ㄧ段542號
7,1138010019,彰化基督教醫療財團法人南投基督教醫院,南投縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,049-2225595,南投縣南投市中興路870號
8,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,重度級急救責任醫院,,104/12/08-114/12/31,05-3621000,嘉義縣朴子市仁和里嘉朴路西段6號、8號
9,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療、加護病房重度級能力,113/01/01-116/12/31,06-3553111,臺南市安南區長和路二段66號
10,143010011,衛生福利部屏東醫院,屏東縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,08-7363011,屏東縣屏東市自由路270號
11,545040515,國軍花蓮總醫院附設民眾診療服務處,花蓮縣,中度級急救責任醫院,,113/01/01-116/12/31,03-8263151,花蓮縣新城鄉嘉里路163號
12,638020014,臺中榮民總醫院埔里分院,南投縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）及具備急性腦中風重度級能力,113/01/01-116/12/31,049-2990833,南投縣埔里鎮蜈蚣里榮光路1號
13,439010518,國立臺灣大學醫學院附設醫院雲林分院,雲林縣,重度級急救責任醫院,,114/01/01-117/12/31,05-5323911,雲林縣斗六市雲林路二段579號
14,1139030015,天主教若瑟醫療財團法人若瑟醫院,雲林縣,中度級急救責任醫院,,109/01/01-115/12/31,05-6337333,雲林縣虎尾鎮新生路74號
15,439010527,國立成功大學醫學院附設醫院斗六分院,雲林縣,一般級急救責任醫院,具備急診、加護病房中度級能力,114/01/01-117/12/31,05-533-2121,雲林縣斗六市莊敬路345號
16,1139040011,彰化基督教醫療財團法人雲林基督教醫院,雲林縣,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））,108/01/01-114/12/31,05-5871111,雲林縣西螺鎮新豐里市場南路371、375號
17,1339060017,中國醫藥大學北港附設醫院,雲林縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）,109/01/01-115/12/31,05-7837901,雲林縣北港鎮新德路123號
18,1139130010,長庚醫療財團法人雲林長庚紀念醫院,雲林縣,一般級急救責任醫院,具備急診、加護病房中度級能力,114/01/01-117/12/31,05-6915151,雲林縣麥寮鄉中興村工業路1500號
19,1122010012,戴德森醫療財團法人嘉義基督教醫院,嘉義市,重度級急救責任醫院,,114/01/01-117/12/31,05-2765041,嘉義市東區中庄里忠孝路539號
20,1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,嘉義市,中度級急救責任醫院,具備急性腦中風重度級能力,104/01/20-114/12/31,05-2756000,嘉義市東區短竹里大雅路二段565號
21,101090517,臺北市立聯合醫院陽明院區	,臺北市, 中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）,, 02-27861288	, 臺北市士林區雨聲街105號
22,101090517, 臺北市立聯合醫院和平婦幼院區	, 臺北市	, 中度級急救責任醫院	,（不含高危險妊娠及新生兒醫療）, 109/01/01-115/12/31	, 02-27861288	, 臺北市中正區中華路2段33號
23,1543010109,國仁醫院,屏東縣,一般級急救責任醫院,具備加護病房中度級能力,114/01/01-117/12/31,08-7223000,屏東縣屏東市民生東路12-2號
24,146010013,衛生福利部臺東醫院,臺東縣,一般級急救責任醫院,具備加護病房中度級能力,114/01/01-117/12/31,089-324112,臺東縣臺東市五權街1號
25,943020013,安泰醫療社團法人潮州安泰醫院,屏東縣,一般級急救責任醫院,具備急診、加護病房中度級能力,113/01/01-116/12/31,08-7800888,屏東縣潮州鎮三星里四維路162號
26,1522011115,陽明醫院,嘉義市,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,113/01/01-116/12/31,05-2284567,嘉義市東區吳鳳北路252號
27,433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹東院區,新竹縣,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,114/01/01-117/12/31,03-5943248,新竹縣竹東鎮至善路52號
28,937050014,員榮醫療社團法人員榮醫院,彰化縣,一般級急救責任醫院,具備急診、急性冠心症、緊急外傷、加護病房中度級能力,114/01/01-117/12/31,04-8326161,彰化縣員林市中正路201號
29,143040019,衛生福利部恆春旅遊醫院,屏東縣,一般級急救責任醫院,具備急診、急性冠心症、加護病房中度級能力,113/01/01-116/12/31,08-8892705,屏東縣恆春鎮山腳里恆南路188號
30,1133060019,天主教仁慈醫療財團法人仁慈醫院,新竹縣,一般級急救責任醫院,具備急診、急性腦中風、急性冠心症、加護病房中度級能力,109/01/01-114/12/31,03-5993500,新竹縣湖口鄉忠孝路29號
31,1146010032,東基醫療財團法人台東基督教醫院,臺東縣,一般級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療、加護病房中度級能力,113/01/01-116/12/31,089-960888,臺東縣臺東市開封街350號
32,645030011,臺北榮民總醫院玉里分院,花蓮縣,一般級急救責任醫院,具備急診、急性腦中風、高危險妊娠及新生兒醫療、加護病房中度級能力,114/01/01-117/12/31,03-8883141,花蓮縣玉里鎮新興街91號
33,1143040010,恆基醫療財團法人恆春基督教醫院,屏東縣,一般級急救責任醫院,具備急診、高危險妊娠及新生兒醫療中度級能力,109/01/01-116/12/31,08-8892293,屏東縣恆春鎮山腳里恆西路21號
34,641310018,高雄榮民總醫院臺南分院,臺南市,一般級急救責任醫院,具備急診、緊急外傷、加護病房中度級能力,113/01/01-116/12/31,06-3125101,臺南市永康區復興路427號
35,633030010,臺北榮民總醫院新竹分院,新竹縣,一般級急救責任醫院,具備急診、緊急外傷、加護病房中度級能力,113/01/01-116/12/31,03-5962134,新竹縣竹東鎮中豐路一段81號
36,943040015,南門醫療社團法人南門醫院,屏東縣,一般級急救責任醫院,具備急診、緊急外傷中度級能力,109/01/01-116/12/31,08-8894568,屏東縣恆春鎮南門路10號
37,141060513,衛生福利部臺南醫院新化分院,臺南市,一般級急救責任醫院,具備急診中度級能力,114/01/01-117/12/31,06-5911929,臺南市新化區那拔里牧場72號
38,1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市,中度級急救責任醫院,,114/01/01-117/12/31,06-2748316,臺南市東區東門路一段57號
39,1521031104,郭綜合醫院,臺南市,中度級急救責任醫院,,109/01/01-114/12/31,06-2221111,臺南市中西區民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號
40,1141090512,奇美醫療財團法人柳營奇美醫院,臺南市,中度級急救責任醫院,,113/01/01-116/12/31,06-6226999,臺南市柳營區太康里201號
41,142030019,衛生福利部旗山醫院,高雄市,中度級急救責任醫院,,108/01/01-114/12/31,07-6613811,高雄市旗山區中學路60號
42,502030015,國軍左營總醫院附設民眾診療服務處,高雄市,中度級急救責任醫院,,109/01/01-115/12/31,07-5817121,高雄市左營區軍校路553號
43,1343030018,輔英科技大學附設醫院,屏東縣,中度級急救責任醫院,,108/01/01-114/12/31,08-8323146,屏東縣東港鎮中山路5號
44,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,花蓮縣,中度級急救責任醫院,,113/01/01-116/12/31,03-8241234,花蓮縣花蓮市民權路44號
45,1101010012,長庚醫療財團法人台北長庚紀念醫院,臺北市,中度級急救責任醫院,,113/01/01-116/12/31,02-27135211,臺北市松山區敦化北路199號
46,1131110516,國泰醫療財團法人汐止國泰綜合醫院,新北市,中度級急救責任醫院,,114/01/01-117/12/31,02-26482121,新北市汐止區建成路59巷2號
47,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,新北市,中度級急救責任醫院,,108/01/01-114/12/31,02-29286060,新北市永和區中興街80號
48,131060029,衛生福利部臺北醫院,新北市,中度級急救責任醫院,,104/12/08-114/12/31,02-22765566,新北市新莊區思源路127號
49,190030516,衛生福利部金門醫院,金門縣,中度級急救責任醫院,,113/01/01-116/12/31,082-332546,金門縣金湖鎮復興路2號
50,1132010024,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,桃園市,中度級急救責任醫院,,113/01/01-116/12/31,03-3613141,桃園市桃園區建新街123號
51,903150014,林新醫療社團法人烏日林新醫院,臺中市,中度級急救責任醫院,,114/01/01-117/12/31,04-23388766,臺中市烏日區榮和路168號
52,1137050019,彰化基督教醫療財團法人員林基督教醫院,彰化縣,中度級急救責任醫院,,106/01/01-115/12/31,04-8381456,彰化縣員林市南平里莒光路456號
53,1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,06-5702228,臺南市麻豆區麻佳路一段207號
54,121050011,衛生福利部臺南醫院,臺南市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,06-2200055,臺南市中區中山路125號
55,1105050012,奇美醫療財團法人佳里奇美醫院,臺南市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,06-7263333,臺南市佳里區興化里606號
56,102020011,高雄市立聯合醫院,高雄市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,07-5552565,高雄市鼓山區中華一路976號
57,943010017,寶建醫療社團法人寶建醫院,屏東縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,08-7665995,屏東縣屏東市中山路123號
58,943160012,枋寮醫療社團法人枋寮醫院,屏東縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,08-8789991,屏東縣枋寮鄉安樂村中山路139號
59,643010011,屏東榮民總醫院,屏東縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,08 -7557885,屏東縣屏東市崇武里榮總東路1號
60,111070010,衛生福利部基隆醫院,基隆市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,02-24292525,基隆市信義區信二路268號
61,101090517,臺北市立聯合醫院忠孝院區,臺北市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,02-27861288,臺北市南港區同德路87號
62,501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,02-27642151,臺北市松山區健康路131號
63,131020016,新北市立聯合醫院（三重院區）,新北市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,02-29829111,新北市三重區新北大道一段3號
64,632010014,臺北榮民總醫院桃園分院,桃園市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,03-3384889,桃園市桃園區成功路三段100號
65,1532011154,敏盛綜合醫院,桃園市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/05/23-116/12/31,03-3179599,桃園市桃園區經國路168號
66,932020025,天成醫療社團法人天晟醫院,桃園市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,03-4629292,桃園市中壢區延平路155號
67,1112010528,國泰醫療財團法人新竹國泰綜合醫院,新竹市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,03-5278999,新竹市東區福德里中華路二段678號及678號-1
68,536190011,國軍臺中總醫院附設民眾診療服務處,臺中市,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）及具備急性冠心症重度級能力,113/01/01-116/12/31,04-23934191,臺中市太平區中山路二段348號
69,938040012,竹山秀傳醫療社團法人竹山秀傳醫院,南投縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）及具備急性腦中風重度級能力,113/01/01-116/12/31,049-2624266,南投縣竹山鎮集山路二段75號
70,1136200015,仁愛醫療財團法人大里仁愛醫院,臺中市,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）具備急性冠心症重度級能力,109/01/01-115/12/31,04-24819900,臺中市大里區東榮路483號
71,938030016,佑民醫療社團法人佑民醫院,南投縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）具備急性腦中風、急性冠心症重度級能力,109/01/01-115/12/31,049-2358151,南投縣草屯鎮太平路一段200號
72,502080015,國軍高雄總醫院附設民眾診療服務處,高雄市,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）具備急診、急性腦中風、急性冠心症、緊急外傷、加護病房重度級能力,114/01/01-117/12/31,07-7496751,高雄市苓雅區建軍路5號
73,144010015,衛生福利部澎湖醫院,澎湖縣,中度級急救責任醫院,（不含高危險妊娠及新生兒醫療）具備急診、急性腦中風、急性冠心症重度級能力,109/01/01-115/12/31,06-9261151,澎湖縣馬公市中正路10號
74,902080013,阮綜合醫療社團法人阮綜合醫院,高雄市,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））,108/01/01-114/12/31,07-3351121,高雄市苓雅區成功一路162號
75,102070020,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),高雄市,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））,108/01/01-114/12/31,07-2911101,高雄市前金區中華三路68號
76,622020017,臺中榮民總醫院嘉義分院,嘉義市,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））具備急性腦中風及急性冠心症重度級能力,108/01/01-114/12/31,05-2359630,嘉義市西區劉厝里世賢路二段600號
77,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,新北市,中度級急救責任醫院,（不含高危險妊娠孕產婦及新生兒（含早產兒））具備急性腦中風重度級能力,108/01/01-114/12/31,02-26723456,新北市三峽區復興路399號
78,905320023,台南市立醫院(委託秀傳醫療社團法人經營),臺南市,中度級急救責任醫院,不含高危險妊娠孕產婦及新生兒照護品質,104/12/08-114/12/31,06-2609926,臺南市東區崇德路670號
79,1517011112,澄清綜合醫院,臺中市,中度級急救責任醫院,不含高危險妊娠孕產婦及新生兒照護品質,104/01/20-114/12/31,04-24632000,臺中市中區平等街139號
80,1532100049,聯新國際醫院,桃園市,中度級急救責任醫院,不含高危險妊娠孕產婦及新生兒照護品質、具備急性腦中風重度級能力,104/01/20-114/12/31,03-4941234,桃園市平鎮區廣泰路77號
81,136010010,衛生福利部豐原醫院,臺中市,中度級急救責任醫院,具備急性冠心症重度級能力,113/01/01-116/12/31,04-25271180,臺中市豐原區安康路100號
82,1303180011,亞洲大學附屬醫院,臺中市,中度級急救責任醫院,具備急性冠心症重度級能力,113/01/01-116/12/31,04-37061668,臺中市霧峰區福新路222號
83,1134020028,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣,中度級急救責任醫院,具備急性腦中風、急性冠心症重度級能力,114/01/01-117/12/31,03-9544106,宜蘭縣羅東鎮中正南路160號
84,1138020015,埔基醫療財團法人埔里基督教醫院,南投縣,中度級急救責任醫院,具備急性腦中風、急性冠心症重度級能力,114/01/01-117/12/31,049-2912151,南投縣埔里鎮鐵山路1號
85,1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市,中度級急救責任醫院,具備急性腦中風重度級能力,108/01/01-114/12/31,07- 8036783,高雄市小港區山明路482號B1-10樓
86,935020027,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣,中度級急救責任醫院,具備急性腦中風重度級能力,114/01/01-117/12/31,037-862387,苗栗縣苑裡鎮和平路168號
87,532090029,國軍桃園總醫院附設民眾診療服務處,桃園市,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、加護病房重度級能力,113/01/01-116/12/31,03-4799595,桃園市龍潭區中興路168號
88,135010016,衛生福利部苗栗醫院,苗栗縣,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療、加護病房重度級能力,109/01/01-115/12/31,037-261920,苗栗縣苗栗市為公路747號
89,138010027,衛生福利部南投醫院,南投縣,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、高危險妊娠及新生兒醫療重度級能力,114/01/01-117/12/31,049-2231150,南投縣南投市復興路478號
90,917070029,林新醫療社團法人林新醫院,臺中市,中度級急救責任醫院,具備急診、急性腦中風、急性冠心症、緊急外傷、加護病房重度級能力,113/01/01-116/12/31,04-22586688,臺中市南屯區惠中路三段36號
91,544010031,三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣,中度級急救責任醫院,具備高危險妊娠及新生兒醫療重度級能力,113/01/01-116/12/31,06-9211116,澎湖縣馬公市前寮里90號1-5樓
92,1140030012,佛教慈濟醫療財團法人大林慈濟醫院,嘉義縣,重度級急救責任醫院,,114/01/01-117/12/31,05-2648000,嘉義縣大林鎮平林里民生路2號
93,1141310019,奇美醫療財團法人奇美醫院,臺南市,重度級急救責任醫院,,114/01/01-117/12/31,06-2812811,臺南市永康區中華路901號
94,421040011,國立成功大學醫學院附設醫院,臺南市,重度級急救責任醫院,,114/01/01-117/12/31,06-2353535,臺南市北區勝利路138號
95,602030026,高雄榮民總醫院,高雄市,重度級急救責任醫院,,114/01/01-117/12/31,07-3422121,高雄市左營區大中一路386號
96,1142100017,長庚醫療財團法人高雄長庚紀念醫院,高雄市,重度級急救責任醫院,,114/01/01-117/12/31,07-7317123,高雄市鳥松區大埤路123號
97,1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市,重度級急救責任醫院,,114/01/01-117/12/31,07-3121101,高雄市三民區十全一路100號
98,1142120001,義大醫療財團法人義大醫院,高雄市,重度級急救責任醫院,,114/01/01-117/12/31,07-6150011,高雄市燕巢區角宿里義大路1號
99,1143010012,屏基醫療財團法人屏東基督教醫院,屏東縣,重度級急救責任醫院,,113/01/01-116/12/31,08-7363026,屏東縣屏東市大連路60號
100,1145010010,佛教慈濟醫療財團法人花蓮慈濟醫院,花蓮縣,重度級急救責任醫院,,114/01/01-117/12/31,03-8561825,花蓮縣花蓮市中央路三段707號
101,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,臺東縣,重度級急救責任醫院,,109/01/01-115/12/31,089-310150,臺東縣臺東市長沙街303巷1號
102,1111060015,長庚醫療財團法人基隆長庚紀念醫院,基隆市,重度級急救責任醫院,,114/01/01-117/12/31,02-24313131,基隆市安樂區麥金路222號
103,1134020019,醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,重度級急救責任醫院,,108/01/01-114/12/31,03-9543131,宜蘭縣羅東鎮南昌街81、83號、站前南路61、63號
104,434010518,國立陽明交通大學附設醫院,宜蘭縣,重度級急救責任醫院,,113/01/01-116/12/31,03-9325192,宜蘭縣宜蘭市校舍路169號
105,1535010051,大千綜合醫院,苗栗縣,重度級急救責任醫院,,109/01/01-114/12/31,037-357125,苗栗縣苗栗市恭敬路36號
106,1135050020,為恭醫療財團法人為恭紀念醫院,苗栗縣,重度級急救責任醫院,,114/01/01-117/12/31,037-676811,苗栗縣頭份鎮信義路128號
107,1132070011,長庚醫療財團法人林口長庚紀念醫院,桃園市,重度級急救責任醫院,,113/01/01-116/12/31,03-3281200,桃園市龜山區公西里復興街5號、5之7號
108,1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-89667000,新北市板橋區南雅南路二段21號
109,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-66289779,新北市新店區建國路289號
110,1331040513,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-22490088,新北市中和區中正路291號
111,1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-28094661,新北市淡水區民生路45號
112,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-85128888,新北市貴子路69號
113,1131130018,新北市立土城醫院(委託長庚醫療財團法人興建經營),新北市,重度級急救責任醫院,,113/01/01-116/12/31,02-22630588,新北市土城區金城路二段6號
114,412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市,重度級急救責任醫院,,113/01/01-116/12/31,03-5326151,新竹市北區金華里經國路一段442巷25號
115,1112010519、1112010537,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院、新竹市立馬偕兒童醫院(委託台灣基督長老教會馬偕醫療財團法人興建經營),新竹市,重度級急救責任醫院,,113/01/01-116/12/31,03-6119595,新竹市東區光復里光復路二段690號
116,933050018,東元醫療社團法人東元綜合醫院,新竹縣,重度級急救責任醫院,,113/01/01-116/12/31,03-5527000,新竹縣竹北市縣政二路69號
117,1137010024、1137010042,彰化基督教醫療財團法人彰化基督教醫院、彰化基督教醫療財團法人彰化基督教兒童醫院,彰化縣,重度級急救責任醫院,,114/01/01-117/12/31,04-7238595,彰化縣彰化市南校街135號
118,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,彰化縣,重度級急救責任醫院,,109/01/01-115/12/31,04-7813888,彰化縣鹿港鎮鹿工路6號、6-2號
119,137170515,衛生福利部彰化醫院,彰化縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,04-8298686,彰化縣埔心鄉中正路二段80號
120,1137080017,彰化基督教醫療財團法人二林基督教醫院,彰化縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,04-8952031,彰化縣二林鎮南光里大成路一段558號
121,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,彰化縣,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31,04-7779595,彰化縣鹿港鎮中正路480號
122,617060018,臺中榮民總醫院,臺中市,重度級急救責任醫院,,114/01/01-117/12/31,04-23592525,臺中市西屯區臺灣大道四段1650號
123,1317050017、1303260014,中國醫藥大學附設醫院、中國醫藥大學兒童醫院,臺中市,重度級急救責任醫院,,114/01/01-117/12/31,04-22052121,臺中市北區育德路2號
124,936060016,童綜合醫療社團法人童綜合醫院,臺中市,重度級急救責任醫院,,114/01/01-117/12/31,04-26581919,臺中市梧棲區臺灣大道八段699號
125,936050029,光田醫療社團法人光田綜合醫院沙鹿總院,臺中市,重度級急救責任醫院,,108/01/01-114/12/31,04-26625111,臺中市沙鹿區沙田路117號（含大同街5-2號）
126,1317040011,中山醫學大學附設醫院,臺中市,重度級急救責任醫院,,114/01/01-117/12/31,04-24739595,臺中市南區建國北路一段110號
127,1136090519,佛教慈濟醫療財團法人台中慈濟醫院,臺中市,重度級急救責任醫院,,113/01/01-116/12/31,04-36060666,臺中市潭子區豐興路一段66號、88號
128,117030010,衛生福利部臺中醫院,臺中市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,04-22294411,臺中市西區廣民里三民路1段199號
129,936030018,李綜合醫療社團法人大甲李綜合醫院,臺中市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,109/01/01-115/12/31,04-26862288,臺中市大甲區八德街2號
130,1503190020,長安醫院,臺中市,中度級急救責任醫院,不含高危險妊娠及新生兒醫療,113/01/01-116/12/31,04-36113611,臺中市太平區永平路1段9號
131,501110514,三軍總醫院附設民眾診療服務處,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-87923311,臺北市內湖區成功路二段325號
132,601160016,臺北榮民總醫院,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-28712121,臺北市北投區石牌路二段201號
133,0401180014、0401180023,國立台灣大學醫學院附設醫院、國立臺灣大學醫學院附設醫院兒童醫院,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-23123456,臺北市中正區中山南路7號
134,1101150011,新光醫療財團法人新光吳火獅紀念醫院,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-28332211,臺北市士林區文昌路95號
135,1101020018,國泰醫療財團法人國泰綜合醫院,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-27082121,臺北市大安區仁愛路四段266巷6號、280號
136,1101100011、1101100020,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院、台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-25433535,臺北市中山區中山北路二段92號
137,1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,臺北市,重度級急救責任醫院,,113/01/01-116/12/31,02-29307930,臺北市文山區興隆路三段111號
138,1301170017,臺北醫學大學附設醫院,臺北市,重度級急救責任醫院,,106/01/01-114/12/31,02-27372181,臺北市信義區吳興街252號
139,1101160017,振興醫療財團法人振興醫院,臺北市,重度級急救責任醫院,,108/01/01-114/12/31,02-28264400,臺北市北投區振興街45號
140,0101090517	,臺北市立聯合醫院仁愛院區	,臺北市	,重度級急救責任醫院	,,109/01/01-115/12/31	,02-27861288	, 臺北市大安區仁愛路四段10號
141,101090517,臺北市立聯合醫院中興院區	,臺北市	,中度級急救責任醫院,不含高危險妊娠孕產婦及新生兒照護品質,104/01/20-114/12/31	,02-27861288	, 臺北市大同區鄭州路145號
142,433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹北院區	,新竹縣,中度級急救責任醫院	,,113/01/01-116/12/31	,03-5943248	,新竹縣竹東鎮至善路52號
143,0936050029	,光田醫療社團法人光田綜合醫院大甲院區	,臺中市	,重度級急救責任醫院	,,108/01/01-114/12/31	,04-26625111	,臺中市沙鹿區沙田路117號（含大同街5-2號）
144,937050014,員榮醫療社團法人員榮醫院員生院區	,彰化縣	,中度級急救責任醫院	,不含高危險妊娠及新生兒醫療,114/01/01-117/12/31	,04-8383995	,彰化縣員林市中正路201號
